Frequency,APSD,sd
92579.2,1.47686e-07,7.78495e-10
92582.4,1.48598e-07,7.83279e-10
92585.6,1.47454e-07,7.77272e-10
92588.8,1.47604e-07,7.7802e-10
92592,1.47918e-07,7.79703e-10
92595.2,1.4781e-07,7.79185e-10
92598.4,1.47514e-07,7.77674e-10
92601.6,1.47671e-07,7.7846e-10
92604.8,1.47043e-07,7.75061e-10
92608,1.4624e-07,7.7084e-10
92611.2,1.46374e-07,7.71724e-10
92614.4,1.47078e-07,7.75296e-10
92617.6,1.47407e-07,7.77085e-10
92620.8,1.48323e-07,7.81852e-10
92624,1.48381e-07,7.82162e-10
92627.2,1.47415e-07,7.77024e-10
92630.4,1.47721e-07,7.78676e-10
92633.6,1.47704e-07,7.78717e-10
92636.8,1.47383e-07,7.76928e-10
92640,1.47367e-07,7.76843e-10
92643.2,1.48018e-07,7.80264e-10
92646.4,1.47716e-07,7.78696e-10
92649.6,1.48356e-07,7.81975e-10
92652.8,1.47944e-07,7.79835e-10
92656,1.48018e-07,7.80293e-10
92659.2,1.48375e-07,7.82138e-10
92662.4,1.47705e-07,7.78721e-10
92665.6,1.47617e-07,7.7816e-10
92668.8,1.48089e-07,7.8058e-10
92672,1.46534e-07,7.72446e-10
92675.2,1.46986e-07,7.74766e-10
92678.4,1.47985e-07,7.80029e-10
92681.6,1.48241e-07,7.81382e-10
92684.8,1.48553e-07,7.83012e-10
92688,1.48516e-07,7.82808e-10
92691.2,1.48856e-07,7.84771e-10
92694.4,1.46174e-07,7.70511e-10
92697.6,1.46127e-07,7.70229e-10
92700.8,1.48852e-07,7.84652e-10
92704,1.48925e-07,7.85123e-10
92707.2,1.47801e-07,7.7919e-10
92710.4,1.47559e-07,7.77929e-10
92713.6,1.47227e-07,7.76217e-10
92716.8,1.47153e-07,7.75896e-10
92720,1.47892e-07,7.79598e-10
92723.2,1.48566e-07,7.83153e-10
92726.4,1.48418e-07,7.8239e-10
92729.6,1.49148e-07,7.86278e-10
92732.8,1.47729e-07,7.78662e-10
92736,1.47292e-07,7.76441e-10
92739.2,1.47127e-07,7.7553e-10
92742.4,1.46111e-07,7.70179e-10
92745.6,1.46833e-07,7.74074e-10
92748.8,1.46954e-07,7.74663e-10
92752,1.47526e-07,7.77701e-10
92755.2,1.47602e-07,7.7807e-10
92758.4,1.47927e-07,7.79818e-10
92761.6,1.48836e-07,7.84604e-10
92764.8,1.47499e-07,7.7757e-10
92768,1.48782e-07,7.84406e-10
92771.2,1.48775e-07,7.84271e-10
92774.4,1.4685e-07,7.74083e-10
92777.6,1.48404e-07,7.82402e-10
92780.8,1.48684e-07,7.83756e-10
92784,1.48502e-07,7.82767e-10
92787.2,1.49053e-07,7.85682e-10
92790.4,1.48238e-07,7.81363e-10
92793.6,1.484e-07,7.82179e-10
92796.8,1.48044e-07,7.80358e-10
92800,1.47666e-07,7.7844e-10
92803.2,1.47307e-07,7.76483e-10
92806.4,1.47666e-07,7.78388e-10
92809.6,1.47842e-07,7.79399e-10
92812.8,1.49316e-07,7.87113e-10
92816,1.49361e-07,7.87285e-10
92819.2,1.48186e-07,7.81093e-10
92822.4,1.48551e-07,7.83083e-10
92825.6,1.5013e-07,7.91447e-10
92828.8,1.49629e-07,7.88789e-10
92832,1.49091e-07,7.86028e-10
92835.2,1.48032e-07,7.80326e-10
92838.4,1.48641e-07,7.83582e-10
92841.6,1.47939e-07,7.79825e-10
92844.8,1.47587e-07,7.77989e-10
92848,1.48191e-07,7.81171e-10
92851.2,1.48074e-07,7.80647e-10
92854.4,1.49546e-07,7.88385e-10
92857.6,1.4887e-07,7.84726e-10
92860.8,1.4756e-07,7.77859e-10
92864,1.46867e-07,7.74165e-10
92867.2,1.46836e-07,7.73943e-10
92870.4,1.47142e-07,7.75643e-10
92873.6,1.47997e-07,7.802e-10
92876.8,1.47276e-07,7.76421e-10
92880,1.47396e-07,7.77144e-10
92883.2,1.48488e-07,7.8274e-10
92886.4,1.48009e-07,7.80243e-10
92889.6,1.48327e-07,7.81855e-10
92892.8,1.48069e-07,7.80698e-10
92896,1.48433e-07,7.8242e-10
92899.2,1.49164e-07,7.8631e-10
92902.4,1.48249e-07,7.81489e-10
92905.6,1.48775e-07,7.84216e-10
92908.8,1.48724e-07,7.83953e-10
92912,1.48423e-07,7.82415e-10
92915.2,1.46437e-07,7.72052e-10
92918.4,1.4791e-07,7.79667e-10
92921.6,1.48096e-07,7.80662e-10
92924.8,1.48598e-07,7.83282e-10
92928,1.48202e-07,7.81313e-10
92931.2,1.48266e-07,7.81663e-10
92934.4,1.47107e-07,7.75411e-10
92937.6,1.48471e-07,7.82653e-10
92940.8,1.48875e-07,7.84769e-10
92944,1.48466e-07,7.82608e-10
92947.2,1.48339e-07,7.81939e-10
92950.4,1.49244e-07,7.86717e-10
92953.6,1.49048e-07,7.85835e-10
92956.8,1.47982e-07,7.8011e-10
92960,1.47849e-07,7.79368e-10
92963.2,1.47208e-07,7.76016e-10
92966.4,1.47057e-07,7.75182e-10
92969.6,1.48449e-07,7.8262e-10
92972.8,1.48482e-07,7.8273e-10
92976,1.46882e-07,7.74245e-10
92979.2,1.46751e-07,7.73564e-10
92982.4,1.48014e-07,7.8031e-10
92985.6,1.48286e-07,7.81707e-10
92988.8,1.48001e-07,7.80124e-10
92992,1.47246e-07,7.76152e-10
92995.2,1.47412e-07,7.77098e-10
92998.4,1.47814e-07,7.7922e-10
93001.6,1.48117e-07,7.80852e-10
93004.8,1.48152e-07,7.80907e-10
93008,1.48212e-07,7.81208e-10
93011.2,1.49517e-07,7.8824e-10
93014.4,1.47385e-07,7.76907e-10
93017.6,1.46278e-07,7.71156e-10
93020.8,1.46661e-07,7.7325e-10
93024,1.47698e-07,7.78553e-10
93027.2,1.46864e-07,7.74128e-10
93030.4,1.47015e-07,7.7495e-10
93033.6,1.47753e-07,7.79014e-10
93036.8,1.48934e-07,7.85226e-10
93040,1.48801e-07,7.84437e-10
93043.2,1.48504e-07,7.8281e-10
93046.4,1.48942e-07,7.85135e-10
93049.6,1.48893e-07,7.84865e-10
93052.8,1.47912e-07,7.79712e-10
93056,1.47094e-07,7.75305e-10
93059.2,1.48162e-07,7.81038e-10
93062.4,1.47926e-07,7.79756e-10
93065.6,1.47747e-07,7.78927e-10
