Frequency,APSD,sd
3283.2,3.14798e-08,4.5026e-11
3286.4,3.14207e-08,4.49403e-11
3289.6,3.14406e-08,4.49697e-11
3292.8,3.1392e-08,4.49e-11
3296,3.12853e-08,4.47474e-11
3299.2,3.13342e-08,4.48179e-11
3302.4,3.14164e-08,4.4937e-11
3305.6,3.13905e-08,4.48994e-11
3308.8,3.13956e-08,4.49061e-11
3312,3.13944e-08,4.49058e-11
3315.2,3.14252e-08,4.49478e-11
3318.4,3.1434e-08,4.49601e-11
3321.6,3.14043e-08,4.49204e-11
3324.8,3.13703e-08,4.48711e-11
3328,3.13513e-08,4.48407e-11
3331.2,3.13245e-08,4.48039e-11
3334.4,3.14458e-08,4.49766e-11
3337.6,3.14184e-08,4.4938e-11
3340.8,3.13342e-08,4.48169e-11
3344,3.14568e-08,4.49922e-11
3347.2,3.13333e-08,4.4818e-11
3350.4,3.13813e-08,4.4884e-11
3353.6,3.14444e-08,4.49749e-11
3356.8,3.14113e-08,4.49289e-11
3360,3.14976e-08,4.50524e-11
3363.2,3.14078e-08,4.49236e-11
3366.4,3.13673e-08,4.48663e-11
3369.6,3.14044e-08,4.49184e-11
3372.8,3.14595e-08,4.49975e-11
3376,3.13999e-08,4.49129e-11
3379.2,3.13861e-08,4.48921e-11
3382.4,3.13867e-08,4.48933e-11
3385.6,3.13801e-08,4.48841e-11
3388.8,3.13833e-08,4.48888e-11
3392,3.1375e-08,4.48771e-11
3395.2,3.14108e-08,4.49282e-11
3398.4,3.14435e-08,4.49745e-11
3401.6,3.14335e-08,4.49609e-11
3404.8,3.13697e-08,4.48689e-11
3408,3.13914e-08,4.49001e-11
3411.2,3.14047e-08,4.49195e-11
3414.4,3.1343e-08,4.4832e-11
3417.6,3.13636e-08,4.48592e-11
3420.8,3.13518e-08,4.48419e-11
3424,3.13082e-08,4.47809e-11
3427.2,3.13578e-08,4.48515e-11
3430.4,3.14477e-08,4.49805e-11
3433.6,3.14364e-08,4.49639e-11
3436.8,3.14213e-08,4.49415e-11
3440,3.14467e-08,4.4978e-11
3443.2,3.14612e-08,4.50006e-11
3446.4,3.14605e-08,4.49988e-11
3449.6,3.13817e-08,4.48852e-11
3452.8,3.13814e-08,4.48844e-11
3456,3.13475e-08,4.48381e-11
3459.2,3.13743e-08,4.48757e-11
3462.4,3.14576e-08,4.49952e-11
3465.6,3.15213e-08,4.50853e-11
3468.8,3.14944e-08,4.50471e-11
3472,3.14648e-08,4.50047e-11
3475.2,3.14824e-08,4.50295e-11
3478.4,3.14289e-08,4.49544e-11
3481.6,3.1374e-08,4.48751e-11
3484.8,3.1374e-08,4.48766e-11
3488,3.13953e-08,4.49075e-11
3491.2,3.14119e-08,4.49296e-11
3494.4,3.15022e-08,4.50587e-11
3497.6,3.1439e-08,4.49689e-11
3500.8,3.14106e-08,4.49259e-11
3504,3.14546e-08,4.49901e-11
3507.2,3.14172e-08,4.49379e-11
3510.4,3.1354e-08,4.48459e-11
3513.6,3.13842e-08,4.48893e-11
3516.8,3.13576e-08,4.48525e-11
3520,3.13279e-08,4.48097e-11
3523.2,3.13527e-08,4.48437e-11
